ID,RA_CFIS,DEC_CFIS,MAG_AUTO_r,name,RA_SLED,DEC_SLED,paper_id,DECALS
2196282030913,155.784871,51.1795517,20.9369,J1023+5110,155.78487,51.17943,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=155.7848713&dec=51.17943388&layer=ls-dr9&zoom=16
2197271006949,140.2081654,45.366163,21.2877,J0920+4521,140.20815,45.36613,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=140.20815&dec=45.36613&layer=ls-dr9&zoom=16
2197271006949,140.2081654,45.366163,21.2877,J0920+4521,140.2081,45.3662,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=140.2081&dec=45.3662&layer=ls-dr9&zoom=16
2197271006949,140.2081654,45.366163,21.2877,J0920+4521,140.208,45.3661,2022arXiv220607714L,https://www.legacysurvey.org/viewer?ra=140.20800&dec=45.36610&layer=ls-dr9&zoom=16
2200264019382,134.7439913,41.7639947,19.8921,SDSSJ0858+4145,134.744,41.76397,2021MNRAS.502.4617T,https://www.legacysurvey.org/viewer?ra=134.744&dec=41.763973&layer=ls-dr9&zoom=16
2200280019719,155.4474539,50.1355729,19.3021,UNIONS J102147+500808,155.4474,50.1356,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=155.4474&dec=50.1356&layer=ls-dr9&zoom=16
2201276035916,150.0904985,47.7961298,17.8354,UNIONS J100021+474746,150.0906,47.7961,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=150.0906&dec=47.7961&layer=ls-dr9&zoom=16
2201288004615,171.0531945,53.8845065,18.7627,SDSSJ1124+5353,171.05333,53.88458,2021MNRAS.502.4617T,https://www.legacysurvey.org/viewer?ra=171.05333&dec=53.884575&layer=ls-dr9&zoom=16
2202253025976,125.3369095,36.3627746,19.044,J0821+3621,125.33697,36.36277,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=125.3369728&dec=36.36276843&layer=ls-dr9&zoom=16
2202261013115,132.6382073,40.6196215,19.4259,J0850+4037,132.6382,40.6196,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=132.6382&dec=40.6196&layer=ls-dr9&zoom=16
2202265008670,136.8674109,42.5504218,18.5381,UNIONS J090728+423301,136.8675,42.5503,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=136.8675&dec=42.5503&layer=ls-dr9&zoom=16
2202265008670,136.8674109,42.5504218,18.5381,PS1J0907+4233,136.86667,42.55056,2020A&A...644A.163C,https://www.legacysurvey.org/viewer?ra=136.86667&dec=42.55056&layer=ls-dr9&zoom=16
2202265008670,136.8674109,42.5504218,18.5381,J0907+4233,136.8675,42.5504,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=136.8675&dec=42.5504&layer=ls-dr9&zoom=16
2202265008670,136.8674109,42.5504218,18.5381,SDSSJ0907+4233,136.8674,42.55039,2021MNRAS.502.4617T,https://www.legacysurvey.org/viewer?ra=136.8674&dec=42.550392&layer=ls-dr9&zoom=16
2203263033300,135.8133104,41.269224,18.6405,J0903+4116,135.81329,41.26919,2008ApJ...682..964B,https://www.legacysurvey.org/viewer?ra=135.81329&dec=41.26919&layer=ls-dr9&zoom=16
2204307006816,228.8267813,63.2723914,20.0295,J1515+6316,228.8268,63.2724,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=228.8268&dec=63.2724&layer=ls-dr9&zoom=16
2204312008553,250.4827149,66.2102977,19.7497,J1641+6612,250.483,66.2103,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=250.483&dec=66.2103&layer=ls-dr9&zoom=16
2206240020699,119.0583822,30.2347335,18.7885,J0756+3014,119.0587,30.235,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=119.0587&dec=30.235&layer=ls-dr9&zoom=16
2207306022445,227.7011363,63.0570498,20.0337,J1510+6303,227.70111,63.05703,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=227.70111&dec=63.057026&layer=ls-dr9&zoom=16
2209272034692,150.294131,46.1759173,21.4441,J1001+4610,150.2941,46.1759,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=150.2941&dec=46.1759&layer=ls-dr9&zoom=16
2213241015965,123.8772934,30.4680227,20.2662,J0815+3028,123.87727,30.46803,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=123.87727&dec=30.468025&layer=ls-dr9&zoom=16
2213243000342,124.8180999,31.4989638,19.5675,J0819+3129,124.8181,31.499,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=124.8181&dec=31.499&layer=ls-dr9&zoom=16
2213261020099,140.2335094,40.6692649,17.481,UNIONS J092056+404009,140.2335,40.6693,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=140.2335&dec=40.6693&layer=ls-dr9&zoom=16
